Score,Type,Model,Classifier,Contrast_name
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.6285714285714286,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.34285714285714286,test,svm_kernel,12,Faces_con_0001
0.7050359712230215,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.4857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6187050359712231,train,naive_bayes,12,Faces_con_0001
0.4857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.3142857142857143,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.37142857142857144,test,svm_kernel,12,Faces_con_0001
0.697841726618705,train,naive_bayes,12,Faces_con_0001
0.45714285714285713,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.697841726618705,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5714285714285714,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.6,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.6571428571428571,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5714285714285714,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.3142857142857143,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.42857142857142855,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.37142857142857144,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.6285714285714286,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.6285714285714286,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.34285714285714286,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6187050359712231,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.6857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5714285714285714,test,svm_kernel,12,Faces_con_0001
0.6474820143884892,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5428571428571428,test,svm_kernel,12,Faces_con_0001
0.6618705035971223,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6571428571428571,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6618705035971223,train,naive_bayes,12,Faces_con_0001
0.6285714285714286,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.37142857142857144,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.45714285714285713,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5142857142857142,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.42857142857142855,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.34285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.6,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.4857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5714285714285714,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5142857142857142,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.6571428571428571,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5714285714285714,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5142857142857142,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6187050359712231,train,naive_bayes,12,Faces_con_0001
0.6571428571428571,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.3142857142857143,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6402877697841727,train,naive_bayes,12,Faces_con_0001
0.5142857142857142,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.37142857142857144,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6618705035971223,train,naive_bayes,12,Faces_con_0001
0.5142857142857142,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.42857142857142855,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6906474820143885,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6258992805755396,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5428571428571428,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.45714285714285713,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6474820143884892,train,naive_bayes,12,Faces_con_0001
0.5142857142857142,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6330935251798561,train,naive_bayes,12,Faces_con_0001
0.6285714285714286,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5714285714285714,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6402877697841727,train,naive_bayes,12,Faces_con_0001
0.4,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6402877697841727,train,naive_bayes,12,Faces_con_0001
0.45714285714285713,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6258992805755396,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.7194244604316546,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6258992805755396,train,naive_bayes,12,Faces_con_0001
0.5142857142857142,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5714285714285714,test,svm_kernel,12,Faces_con_0001
0.6474820143884892,train,naive_bayes,12,Faces_con_0001
0.6857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6571428571428571,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.37142857142857144,test,svm_kernel,12,Faces_con_0001
0.6474820143884892,train,naive_bayes,12,Faces_con_0001
0.6571428571428571,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5428571428571428,test,svm_kernel,12,Faces_con_0001
0.697841726618705,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.37142857142857144,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.42857142857142855,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5428571428571428,test,svm_kernel,12,Faces_con_0001
0.6258992805755396,train,naive_bayes,12,Faces_con_0001
0.7142857142857143,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6187050359712231,train,naive_bayes,12,Faces_con_0001
0.6285714285714286,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6402877697841727,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.34285714285714286,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.45714285714285713,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6330935251798561,train,naive_bayes,12,Faces_con_0001
0.7142857142857143,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4,test,svm_kernel,12,Faces_con_0001
0.6618705035971223,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5428571428571428,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.34285714285714286,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.42857142857142855,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.37142857142857144,test,svm_kernel,12,Faces_con_0001
0.7122302158273381,train,naive_bayes,12,Faces_con_0001
0.4857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6402877697841727,train,naive_bayes,12,Faces_con_0001
0.6285714285714286,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.6571428571428571,test,svm_kernel,12,Faces_con_0001
0.7194244604316546,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5428571428571428,test,svm_kernel,12,Faces_con_0001
0.6906474820143885,train,naive_bayes,12,Faces_con_0001
0.37142857142857144,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5428571428571428,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.6285714285714286,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.6,test,svm_kernel,12,Faces_con_0001
0.6474820143884892,train,naive_bayes,12,Faces_con_0001
0.42857142857142855,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4,test,svm_kernel,12,Faces_con_0001
0.7050359712230215,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.6571428571428571,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4,test,svm_kernel,12,Faces_con_0001
0.697841726618705,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6906474820143885,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6618705035971223,train,naive_bayes,12,Faces_con_0001
0.4857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5428571428571428,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.5142857142857142,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.4,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.5142857142857142,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.34285714285714286,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.34285714285714286,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.4857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6857142857142857,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.5714285714285714,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.6285714285714286,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
